"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",8.3329,-0.018,"(6.1966, 10.4707)","(-0.1801, 0.1442)",0
"gender.v1Male","gender.v1Male",0.3493,0.1443,"(-0.0646, 0.7632)","(-0.0282, 0.3169)",0.102
"age.v1","age.v1",-0.0177,-0.0114,"(-0.1457, 0.1101)","(-0.0946, 0.0718)",0.7881
"income.v1.10000","income.v1.10000",-0.0203,-0.0255,"(-0.0877, 0.0472)","(-0.1112, 0.0602)",0.5599
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-0.105,-0.0434,"(-0.5542, 0.3444)","(-0.2307, 0.1439)",0.65
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.133,0.055,"(-0.6183, 0.8847)","(-0.2583, 0.3683)",0.7311
"I_frisat","I_frisat",1.2386,0.2289,"(1.0799, 1.3974)","(0.1996, 0.2583)",0
"z_COI_nat","z_COI_nat",0.2557,0.0756,"(-0.0221, 0.5333)","(-0.0072, 0.1585)",0.0744
