"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",95.7449,0.1014,"(87.4652, 104.0256)","(-0.0622, 0.2649)",0
"gender.v1Male","gender.v1Male",-2.3399,-0.2513,"(-3.9388, -0.7412)","(-0.4252, -0.0775)",0.0049
"age.v1","age.v1",-0.7652,-0.1282,"(-1.2581, -0.2723)","(-0.2118, -0.0446)",0.0029
"income.v1.10000","income.v1.10000",0.4176,0.1366,"(0.1538, 0.6816)","(0.0492, 0.224)",0.0024
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-0.0853,-0.0092,"(-1.822, 1.6521)","(-0.198, 0.1797)",0.9242
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",-0.8057,-0.0865,"(-3.7035, 2.0929)","(-0.4016, 0.2285)",0.5905
"I_frisat","I_frisat",0.5428,0.0261,"(-0.0801, 1.1648)","(-0.0038, 0.056)",0.0875
"z_ED_nat","z_ED_nat",0.081,0.0062,"(-1.7873, 1.9519)","(-0.1391, 0.1515)",0.9331
"z_HE_nat","z_HE_nat",1.2584,0.0742,"(-0.5477, 3.0634)","(-0.0336, 0.182)",0.1779
"z_SE_nat","z_SE_nat",-0.5655,-0.0531,"(-2.1421, 1.01)","(-0.2029, 0.0967)",0.4874
