"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",6.9346,-0.033,"(4.4831, 9.3918)","(-0.2072, 0.1411)",0
"gender.v1Male","gender.v1Male",0.349,0.1428,"(-0.0757, 0.7739)","(-0.0332, 0.3188)",0.1127
"age.v1","age.v1",0.0118,0.0074,"(-0.1225, 0.146)","(-0.0776, 0.0924)",0.8646
"income.v1.10000","income.v1.10000",-0.0122,-0.0155,"(-0.0821, 0.0577)","(-0.1052, 0.0742)",0.7351
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-0.0657,-0.0269,"(-0.5433, 0.4123)","(-0.2248, 0.171)",0.7901
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.2045,0.0836,"(-0.5863, 0.9959)","(-0.2441, 0.4114)",0.6171
"I_frisat","I_frisat",1.2316,0.2253,"(1.0679, 1.3954)","(0.1954, 0.2553)",0
"p.mn.cohesion.mean.v1","p.mn.cohesion.mean.v1",0.0026,9e-04,"(-0.3135, 0.3183)","(-0.1132, 0.1151)",0.9872
"p.mn.safety.mean.v1","p.mn.safety.mean.v1",0.0772,0.0362,"(-0.2185, 0.3728)","(-0.1044, 0.1768)",0.6137
"p.mn.violence.mean.v1","p.mn.violence.mean.v1",0.2475,0.0844,"(-0.0832, 0.5775)","(-0.0297, 0.1986)",0.1479
