"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",-1.1506,-0.132,"(-3.6938, 1.3935)","(-0.3091, 0.0452)",0.3817
"gender.v1Male","gender.v1Male",0.7703,0.3093,"(0.33, 1.2107)","(0.1303, 0.4884)",8e-04
"age.v1","age.v1",0.0378,0.0232,"(-0.1013, 0.177)","(-0.0632, 0.1097)",0.5989
"income.v1.10000","income.v1.10000",0.0174,0.0217,"(-0.055, 0.0899)","(-0.0696, 0.113)",0.642
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",0.0892,0.0358,"(-0.4058, 0.5846)","(-0.1655, 0.2372)",0.7274
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.1882,0.0756,"(-0.6315, 1.0085)","(-0.2579, 0.409)",0.657
"I_frisat","I_frisat",0.5897,0.1059,"(0.4234, 0.756)","(0.076, 0.1358)",0
"p.mn.cohesion.mean.v1","p.mn.cohesion.mean.v1",0.0603,0.0211,"(-0.2672, 0.3877)","(-0.095, 0.1373)",0.7215
"p.mn.safety.mean.v1","p.mn.safety.mean.v1",0.0997,0.0459,"(-0.2069, 0.4061)","(-0.0971, 0.189)",0.5293
"p.mn.violence.mean.v1","p.mn.violence.mean.v1",0.1886,0.0632,"(-0.1539, 0.5309)","(-0.053, 0.1793)",0.287
