"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",-0.1342,-0.1282,"(-2.3405, 2.0718)","(-0.293, 0.0366)",0.9059
"gender.v1Male","gender.v1Male",0.765,0.3114,"(0.3377, 1.1923)","(0.1359, 0.4869)",6e-04
"age.v1","age.v1",0.0352,0.0224,"(-0.0968, 0.1673)","(-0.0622, 0.107)",0.6042
"income.v1.10000","income.v1.10000",0.0124,0.0154,"(-0.0573, 0.0821)","(-0.0718, 0.1025)",0.7295
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",0.0834,0.034,"(-0.3802, 0.5473)","(-0.1565, 0.2244)",0.7267
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.2137,0.087,"(-0.562, 0.9896)","(-0.2316, 0.4056)",0.5928
"I_frisat","I_frisat",0.59,0.1074,"(0.4289, 0.751)","(0.0781, 0.1368)",0
"z_COI_nat","z_COI_nat",0.1593,0.0464,"(-0.1275, 0.4459)","(-0.0379, 0.1307)",0.2809
