"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",96.4108,0.0975,"(88.1494, 104.673)","(-0.0655, 0.2604)",0
"gender.v1Male","gender.v1Male",-2.2862,-0.2456,"(-3.8864, -0.6862)","(-0.419, -0.0722)",0.0058
"age.v1","age.v1",-0.7717,-0.1293,"(-1.2662, -0.2773)","(-0.2129, -0.0457)",0.0026
"income.v1.10000","income.v1.10000",0.3994,0.1307,"(0.1385, 0.6603)","(0.0446, 0.2167)",0.0032
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-0.0527,-0.0057,"(-1.7895, 1.6846)","(-0.1939, 0.1826)",0.953
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",-0.7914,-0.085,"(-3.6967, 2.1143)","(-0.3999, 0.2298)",0.5968
"I_frisat","I_frisat",0.5415,0.026,"(-0.0813, 1.1636)","(-0.0039, 0.0559)",0.0883
"z_COI_nat","z_COI_nat",0.129,0.0099,"(-0.9445, 1.2028)","(-0.0734, 0.0932)",0.8155
