"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",-0.5909,-0.1484,"(-3.0216, 1.8384)","(-0.3296, 0.0328)",0.6454
"gender.v1Male","gender.v1Male",0.861,0.3506,"(0.4031, 1.319)","(0.1576, 0.5437)",4e-04
"age.v1","age.v1",0.0318,0.0203,"(-0.1093, 0.1728)","(-0.0728, 0.1133)",0.6694
"income.v1.10000","income.v1.10000",-0.0104,-0.0126,"(-0.0864, 0.0657)","(-0.1083, 0.083)",0.7959
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",0.0723,0.0294,"(-0.4265, 0.5719)","(-0.181, 0.2398)",0.7841
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.4008,0.1632,"(-0.4445, 1.2482)","(-0.1935, 0.5199)",0.3704
"I_frisat","I_frisat",0.5645,0.1027,"(0.3954, 0.7338)","(0.0719, 0.1335)",0
"z_ED_EC_nat","z_ED_EC_nat",-0.2851,-0.1083,"(-0.5332, -0.0371)","(-0.2059, -0.0108)",0.0303
"z_ED_EL_nat","z_ED_EL_nat",0.1709,0.0446,"(-0.3875, 0.7282)","(-0.1061, 0.1952)",0.5621
"z_ED_ER_nat","z_ED_ER_nat",-0.6485,-0.1743,"(-1.6316, 0.3319)","(-0.4475, 0.0988)",0.2118
"z_ED_SP_nat","z_ED_SP_nat",0.1781,0.0501,"(-0.3443, 0.6992)","(-0.1019, 0.2022)",0.5183
"z_HE_EP_nat","z_HE_EP_nat",1.3172,0.0711,"(-0.5635, 3.1974)","(-0.034, 0.1761)",0.1857
"z_HE_HE_nat","z_HE_HE_nat",0.3546,0.0365,"(-0.8625, 1.5718)","(-0.0931, 0.166)",0.5814
"z_HE_HR_nat","z_HE_HR_nat",0.077,0.0177,"(-0.4256, 0.5794)","(-0.1019, 0.1373)",0.7719
"z_HE_SE_nat","z_HE_SE_nat",-0.0663,-0.0233,"(-0.4217, 0.2903)","(-0.1531, 0.1064)",0.7245
"z_SE_EI_nat","z_SE_EI_nat",0.9586,0.2977,"(-0.0268, 1.944)","(-0.019, 0.6145)",0.0664
"z_SE_EO_nat","z_SE_EO_nat",-0.2936,-0.1028,"(-0.9311, 0.3446)","(-0.3339, 0.1284)",0.384
"z_SE_ER_nat","z_SE_ER_nat",-0.4249,-0.1743,"(-1.0906, 0.2393)","(-0.4568, 0.1081)",0.2271
"z_SE_HQ_nat","z_SE_HQ_nat",0.5506,0.1378,"(-0.0444, 1.1462)","(-0.0164, 0.2921)",0.0809
"z_SE_SR_nat","z_SE_SR_nat",-0.0576,-0.0199,"(-0.6453, 0.532)","(-0.2305, 0.1907)",0.853
"z_SE_WL_nat","z_SE_WL_nat",0.1359,0.0345,"(-0.5587, 0.8317)","(-0.1484, 0.2174)",0.7115
