"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",472.1219,0.1521,"(401.0039, 543.4759)","(0.0253, 0.279)",0
"gender.v1Male","gender.v1Male",-32.3818,-0.3119,"(-46.1127, -18.6501)","(-0.4458, -0.1781)",0
"age.v1","age.v1",-5.8746,-0.0883,"(-10.1218, -1.6425)","(-0.1528, -0.0238)",0.0077
"income.v1.10000","income.v1.10000",0.519,0.0152,"(-1.7455, 2.7841)","(-0.052, 0.0825)",0.6574
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-6.769,-0.0652,"(-21.7389, 8.2218)","(-0.2113, 0.0808)",0.382
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",-3.484,-0.0336,"(-28.4308, 21.4834)","(-0.2769, 0.2098)",0.787
"I_frisat","I_frisat",35.2932,0.1521,"(26.9821, 43.606)","(0.1162, 0.1879)",0
"z_ED_nat","z_ED_nat",9.2908,0.064,"(-6.8604, 25.4336)","(-0.0486, 0.1765)",0.2658
"z_HE_nat","z_HE_nat",4.856,0.0257,"(-10.6741, 20.3517)","(-0.0574, 0.1087)",0.5447
"z_SE_nat","z_SE_nat",-5.4689,-0.0461,"(-19.0379, 8.1145)","(-0.1618, 0.0697)",0.4357
