"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",454.9508,0.1336,"(374.07, 536.1834)","(-0.002, 0.2692)",0
"gender.v1Male","gender.v1Male",-32.1336,-0.3088,"(-46.1093, -18.1546)","(-0.4449, -0.1728)",0
"age.v1","age.v1",-5.0884,-0.0747,"(-9.522, -0.6706)","(-0.1405, -0.0089)",0.0267
"income.v1.10000","income.v1.10000",0.3635,0.0108,"(-1.935, 2.6621)","(-0.0585, 0.0801)",0.7597
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-4.0916,-0.0393,"(-19.8747, 11.7134)","(-0.193, 0.1144)",0.6163
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",1.7474,0.0168,"(-24.3311, 27.8516)","(-0.2371, 0.2707)",0.8969
"I_frisat","I_frisat",34.5395,0.1484,"(26.0162, 43.0687)","(0.1118, 0.1851)",0
"p.mn.cohesion.mean.v1","p.mn.cohesion.mean.v1",-0.5889,-0.0049,"(-11.0094, 9.8128)","(-0.0933, 0.0834)",0.9129
"p.mn.safety.mean.v1","p.mn.safety.mean.v1",-1.1548,-0.0127,"(-10.8965, 8.5911)","(-0.1216, 0.0961)",0.8186
"p.mn.violence.mean.v1","p.mn.violence.mean.v1",3.7967,0.0304,"(-7.1113, 14.6752)","(-0.058, 0.1188)",0.5002
