"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",3.4755,1.1932,"(2.8314, 4.1198)","(1.152, 1.2344)",0
"gender.v1Male","gender.v1Male",0.0845,0.0297,"(-0.0402, 0.2092)","(-0.0141, 0.0735)",0.189
"age.v1","age.v1",0.0369,0.0243,"(-0.0017, 0.0754)","(0.0032, 0.0454)",0.0641
"income.v1.10000","income.v1.10000",-0.0318,-0.0358,"(-0.0521, -0.0115)","(-0.0576, -0.0141)",0.0026
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-0.0231,-0.0101,"(-0.1587, 0.1124)","(-0.0577, 0.0375)",0.7404
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.0116,0.0061,"(-0.215, 0.2383)","(-0.0734, 0.0856)",0.9205
"I_frisat","I_frisat",0.0598,0.011,"(0.0026, 0.1171)","(0.0025, 0.0195)",0.0406
"z_COI_nat","z_COI_nat",0.0237,0.0022,"(-0.0601, 0.1074)","(-0.0188, 0.0232)",0.5832
