"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",7.7981,-0.0105,"(5.4332, 10.176)","(-0.187, 0.1661)",0
"gender.v1Male","gender.v1Male",0.356,0.1447,"(-0.0908, 0.8029)","(-0.0434, 0.3327)",0.1326
"age.v1","age.v1",-0.0166,-0.0106,"(-0.1547, 0.1206)","(-0.1012, 0.08)",0.8191
"income.v1.10000","income.v1.10000",-0.0474,-0.0574,"(-0.1215, 0.0269)","(-0.1506, 0.0358)",0.2281
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-0.1579,-0.0642,"(-0.6448, 0.3296)","(-0.2692, 0.1408)",0.5398
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.2305,0.0937,"(-0.5945, 1.0574)","(-0.2539, 0.4412)",0.5975
"I_frisat","I_frisat",1.2342,0.224,"(1.062, 1.4068)","(0.1927, 0.2554)",0
"z_ED_EC_nat","z_ED_EC_nat",-0.2155,-0.0817,"(-0.4572, 0.0268)","(-0.1767, 0.0133)",0.0929
"z_ED_EL_nat","z_ED_EL_nat",0.4885,0.1272,"(-0.0577, 1.0314)","(-0.0196, 0.274)",0.0905
"z_ED_ER_nat","z_ED_ER_nat",-0.7379,-0.198,"(-1.6965, 0.2196)","(-0.4641, 0.0682)",0.1458
"z_ED_SP_nat","z_ED_SP_nat",0.1199,0.0337,"(-0.3903, 0.628)","(-0.1144, 0.1818)",0.6559
"z_HE_EP_nat","z_HE_EP_nat",1.5679,0.0844,"(-0.2665, 3.4025)","(-0.0179, 0.1867)",0.1068
"z_HE_HE_nat","z_HE_HE_nat",0.7727,0.0793,"(-0.4163, 1.9594)","(-0.0469, 0.2056)",0.219
"z_HE_HR_nat","z_HE_HR_nat",0.0761,0.0175,"(-0.4152, 0.5655)","(-0.0991, 0.134)",0.769
"z_HE_SE_nat","z_HE_SE_nat",0.0494,0.0174,"(-0.2977, 0.3972)","(-0.1091, 0.1438)",0.7879
"z_SE_EI_nat","z_SE_EI_nat",0.7415,0.2298,"(-0.2197, 1.7037)","(-0.0788, 0.5385)",0.1454
"z_SE_EO_nat","z_SE_EO_nat",-0.2353,-0.0822,"(-0.8574, 0.3877)","(-0.3074, 0.143)",0.4747
"z_SE_ER_nat","z_SE_ER_nat",-0.3789,-0.1552,"(-1.0287, 0.2692)","(-0.4303, 0.12)",0.2698
"z_SE_HQ_nat","z_SE_HQ_nat",0.1991,0.0497,"(-0.382, 0.7797)","(-0.1005, 0.2)",0.5168
"z_SE_SR_nat","z_SE_SR_nat",-0.2018,-0.0696,"(-0.7751, 0.3737)","(-0.2747, 0.1356)",0.5065
"z_SE_WL_nat","z_SE_WL_nat",0.4231,0.1073,"(-0.2542, 1.1026)","(-0.0709, 0.2855)",0.2386
