"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",94.9906,0.1548,"(86.0456, 103.9431)","(-0.0195, 0.3292)",0
"gender.v1Male","gender.v1Male",-2.3465,-0.2494,"(-4.0331, -0.661)","(-0.435, -0.0639)",0.0089
"age.v1","age.v1",-0.7766,-0.1292,"(-1.2962, -0.2574)","(-0.2186, -0.0397)",0.005
"income.v1.10000","income.v1.10000",0.4352,0.138,"(0.1554, 0.7156)","(0.0461, 0.23)",0.0035
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-0.79,-0.084,"(-2.6258, 1.052)","(-0.2863, 0.1184)",0.4165
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",-1.3202,-0.1403,"(-4.4356, 1.7986)","(-0.4834, 0.2027)",0.4231
"I_frisat","I_frisat",0.5096,0.0242,"(-0.1667, 1.1842)","(-0.0079, 0.0563)",0.1394
"z_ED_EC_nat","z_ED_EC_nat",0.3913,0.0388,"(-0.5217, 1.3046)","(-0.055, 0.1326)",0.4177
"z_ED_EL_nat","z_ED_EL_nat",-1.4322,-0.0976,"(-3.4865, 0.6242)","(-0.2425, 0.0474)",0.1879
"z_ED_ER_nat","z_ED_ER_nat",0.3301,0.0232,"(-3.2859, 3.9458)","(-0.2395, 0.2859)",0.8628
"z_ED_SP_nat","z_ED_SP_nat",0.8104,0.0596,"(-1.1064, 2.7366)","(-0.0866, 0.2058)",0.425
"z_HE_EP_nat","z_HE_EP_nat",9.3468,0.1316,"(2.4183, 16.2609)","(0.0307, 0.2325)",0.0111
"z_HE_HE_nat","z_HE_HE_nat",0.3055,0.0082,"(-4.1786, 4.7875)","(-0.1164, 0.1328)",0.8974
"z_HE_HR_nat","z_HE_HR_nat",-0.9774,-0.0587,"(-2.8288, 0.8715)","(-0.1737, 0.0563)",0.3179
"z_HE_SE_nat","z_HE_SE_nat",0.8567,0.0788,"(-0.4563, 2.1667)","(-0.0461, 0.2036)",0.217
"z_SE_EI_nat","z_SE_EI_nat",1.7477,0.1417,"(-1.8868, 5.3721)","(-0.1629, 0.4464)",0.3625
"z_SE_EO_nat","z_SE_EO_nat",-2.3731,-0.2169,"(-4.7208, -0.0219)","(-0.4392, 0.0054)",0.0568
"z_SE_ER_nat","z_SE_ER_nat",-0.6598,-0.0707,"(-3.1057, 1.7923)","(-0.3423, 0.2009)",0.6102
"z_SE_HQ_nat","z_SE_HQ_nat",2.7816,0.1817,"(0.5898, 4.9735)","(0.0335, 0.33)",0.0169
"z_SE_SR_nat","z_SE_SR_nat",-1.1027,-0.0995,"(-3.2689, 1.066)","(-0.302, 0.103)",0.3361
"z_SE_WL_nat","z_SE_WL_nat",0.1173,0.0078,"(-2.4469, 2.6735)","(-0.1681, 0.1836)",0.9309
