"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",475.9691,0.1548,"(405.0414, 547.0293)","(0.0286, 0.281)",0
"gender.v1Male","gender.v1Male",-32.434,-0.3124,"(-46.1652, -18.7032)","(-0.4459, -0.179)",0
"age.v1","age.v1",-5.9073,-0.0888,"(-10.1601, -1.6635)","(-0.1532, -0.0244)",0.0073
"income.v1.10000","income.v1.10000",0.262,0.0077,"(-1.9725, 2.4971)","(-0.0585, 0.0738)",0.8199
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-7.1023,-0.0684,"(-22.0585, 7.8664)","(-0.2138, 0.077)",0.3569
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",-3.7962,-0.0366,"(-28.7817, 21.2019)","(-0.2794, 0.2063)",0.768
"I_frisat","I_frisat",35.2864,0.152,"(26.9744, 43.5995)","(0.1162, 0.1879)",0
"z_COI_nat","z_COI_nat",4.9623,0.0342,"(-4.2829, 14.2013)","(-0.0301, 0.0985)",0.2974
