"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",3.5851,1.1772,"(2.8869, 4.2842)","(1.1328, 1.2216)",0
"gender.v1Male","gender.v1Male",0.0783,0.0246,"(-0.0532, 0.21)","(-0.0226, 0.0718)",0.2606
"age.v1","age.v1",0.0344,0.0259,"(-0.0062, 0.0749)","(0.0031, 0.0486)",0.1097
"income.v1.10000","income.v1.10000",-0.0333,-0.0379,"(-0.0552, -0.0115)","(-0.0613, -0.0146)",0.0043
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",0.038,0.0083,"(-0.106, 0.1814)","(-0.0432, 0.0598)",0.6171
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.0469,0.0165,"(-0.1967, 0.2902)","(-0.0708, 0.1038)",0.7153
"I_frisat","I_frisat",0.0602,0.0115,"(-0.0021, 0.1225)","(0.0024, 0.0206)",0.0586
"z_ED_EC_nat","z_ED_EC_nat",-0.0298,-0.0059,"(-0.101, 0.0415)","(-0.0298, 0.0179)",0.4288
"z_ED_EL_nat","z_ED_EL_nat",0.1496,0.0289,"(-0.0113, 0.31)","(-0.008, 0.0658)",0.0788
"z_ED_ER_nat","z_ED_ER_nat",-0.0343,-0.0012,"(-0.3166, 0.2482)","(-0.0681, 0.0656)",0.8184
"z_ED_SP_nat","z_ED_SP_nat",-0.0236,-0.0113,"(-0.174, 0.1261)","(-0.0485, 0.0259)",0.7663
"z_HE_EP_nat","z_HE_EP_nat",-0.6272,-0.0301,"(-1.1662, -0.0868)","(-0.0558, -0.0045)",0.0287
"z_HE_HE_nat","z_HE_HE_nat",0.027,0.0065,"(-0.323, 0.3773)","(-0.0253, 0.0382)",0.884
"z_HE_HR_nat","z_HE_HR_nat",0.0618,0.0194,"(-0.0826, 0.2062)","(-0.0099, 0.0486)",0.4181
"z_HE_SE_nat","z_HE_SE_nat",-0.0533,-0.0124,"(-0.1559, 0.0491)","(-0.0442, 0.0194)",0.3256
"z_SE_EI_nat","z_SE_EI_nat",-0.1379,-0.0417,"(-0.4209, 0.146)","(-0.1192, 0.0358)",0.3576
"z_SE_EO_nat","z_SE_EO_nat",0.1941,0.0441,"(0.0104, 0.3774)","(-0.0124, 0.1007)",0.0462
"z_SE_ER_nat","z_SE_ER_nat",-0.0026,0.0138,"(-0.1939, 0.1886)","(-0.0553, 0.0829)",0.9798
"z_SE_HQ_nat","z_SE_HQ_nat",-0.2254,-0.0565,"(-0.3965, -0.0544)","(-0.0942, -0.0188)",0.0132
"z_SE_SR_nat","z_SE_SR_nat",0.0811,0.021,"(-0.0882, 0.2501)","(-0.0305, 0.0725)",0.3645
"z_SE_WL_nat","z_SE_WL_nat",0.0268,0.0083,"(-0.1727, 0.2271)","(-0.0364, 0.0531)",0.7997
