"","predictor","B","beta","CI","CI_STD","pval"
"(Intercept)","(Intercept)",3.5112,1.1916,"(2.8656, 4.157)","(1.1502, 1.233)",0
"gender.v1Male","gender.v1Male",0.0904,0.0311,"(-0.0342, 0.215)","(-0.0128, 0.0751)",0.1609
"age.v1","age.v1",0.0364,0.0241,"(-0.002, 0.0748)","(0.003, 0.0453)",0.0675
"income.v1.10000","income.v1.10000",-0.0314,-0.0354,"(-0.0519, -0.0108)","(-0.0575, -0.0133)",0.0034
"cg1_edu_grp<=BS","cg1_edu_grp<=BS",-0.0164,-0.0084,"(-0.152, 0.1192)","(-0.0562, 0.0394)",0.815
"cg1_edu_grp>=MS","cg1_edu_grp>=MS",0.0162,0.0072,"(-0.2098, 0.2423)","(-0.0725, 0.0869)",0.8894
"I_frisat","I_frisat",0.0597,0.011,"(0.0025, 0.1169)","(0.0025, 0.0195)",0.0411
"z_ED_nat","z_ED_nat",0.0747,0.0135,"(-0.0714, 0.2206)","(-0.0233, 0.0503)",0.322
"z_HE_nat","z_HE_nat",-0.088,-0.0113,"(-0.2288, 0.0527)","(-0.0385, 0.016)",0.2268
"z_SE_nat","z_SE_nat",0.0042,-0.0018,"(-0.1187, 0.1272)","(-0.0397, 0.0361)",0.9471
